i,j,tau_sch,margin_sch_exact,margin_sch_float,tau_cau,margin_cau_exact,margin_cau_float,ratio_cau_over_sch
38,0,1,215623431144973600900436357677843212420232615338773902352458562359432336866568808461642403591516015233831849749426402113966051984759160665003560425556077919264359349109959380281519871167248165660795287328916944829337377397699/4058327898659535110105525528125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.05313110141154291,1,215623431144973600900436357677843212420232615338773902352458562359432336866568808461642403591516015233831849749426402113966051984759160665003560425556077919264359349109959380281519871167248165660795287328916944829337377397699/4058327898659535110105525528125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.05313110141154291,1.0
38,1,1,1511702537294960802275672192458269814161301209451725372123848394984879490711305287095977312443369801629673058150459531729003193175835076838075758335138752224656196854453164303536379168941586342677511259270041113805361641783893/28408295290616745770738678696875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.05321341959558819,1,1511702288396010593694739725674352531826845934688751710051483949160015535796157774710072440361631282468027409417450257178523213014527885721312048764104029922638448378069576307195960315310336342677511259270041113805361641783893/28408295290616745770738678696875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.05321341083409977,0.9999998353519002
38,2,1,1518580666874528430568071179613933376042176559442365943767485507194688272400391665719916985323474271163772911371322361713251989497075802292285644757174358981987315512477178100131919093754133891833344003172908613805361641783893/28408295290616745770738678696875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.05345553653746043,1,1518576699451491386046732800429958738755600045529521658852395714578489035331803020868165157600229147293332171062637526771781690857123907747290028367580935617939339890339770158685217435654133891833344003172908613805361641783893/28408295290616745770738678696875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.05345539688025831,0.9999973874137057
38,3,1,1529782896170658631153516720204377330609311322750004989641493857197698182758685122534210359603045470793991132097645859962219499442032779189328656464216302003567984205647997782452218010108379807093065243011021113805361641783893/28408295290616745770738678696875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.053849866052186016,1,1529762936803719902436311599424730087301641225514166910667657971450348689239851362561348308393768555803380151931776546822590964987508288594988627294392597361316357618577370078878290865977129807093065243011021113805361641783893/28408295290616745770738678696875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.05384916346279322,0.9999869528107624
38,4,1,1545081498622552568633385452306572160069992943345648272677678286871415823185259527752107755892498981486023789817984974153193217611628282584339681579874993920926317253566182644988874480504324088456674978784378613805361641783893/28408295290616745770738678696875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.05438839194032501,1,1545018970000946271945143794460311432397084404604308155255492508476082836357556218692614408031883334801382727922012925715309728512871142550728971151956762063262707299367655581841647950904324088456674978784378613805361641783893/28408295290616745770738678696875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.05438619087120183,0.9999595305350157
38,5,1,1564237218126649944586381764179472369245671102792489343653856613242071361916222708375432264713590791423869041929859470602295118810860045851234526847707200041019430507626610546030126492441966735924173210492981113805361641783893/28408295290616745770738678696875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.05506269215116604,1,1564086281492204307374912185372308203773044410417322074257685662620015635670534888115312742244468381611825587324025540131104275357173511381333778376672470103676632767884112833268342972910716735924173210492981113805361641783893/28408295290616745770738678696875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.055057379032835585,0.9999035078358343
38,6,1,1587000383417993029005981109596282564698030573844263776486078457726521016746082218449150960957446437545554882212282647489268764237707713112148934527385065223108441351018477907660851458421307749495559938136828613805361641783893/28408295290616745770738678696875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.05586397801004902,1,1586691718538912488071153013446084925717849204969107591009199811663310914437368971205122418357118042897740531840829640064664882336945046232812556345601089291126415957888434650478017152321307749495559938136828613805361641783893/28408295290616745770738678696875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.05585311270201406,0.999805504218962
38,7,1,230444637596970338428071601511298794074312931735863823426408667984426024463280644758789157637387773334267354995603828625220415319902481674785215924497327327411924099817899959394652316563192447024405023102274444829337377397699/4058327898659535110105525528125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.05678314895971963,1,230364279896358067196537800871803478784106979280120685256411489892047376174381804630072492927626821051170087434420158993838688452476118490574537267599357340272196700247217214630985521044442447024405023102274444829337377397699/4058327898659535110105525528125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.056763348267755136,0.9996512928161392
38,8,1,1642308066699286181930993104923157172708080585559580880575829154978638747070297802220227450814570810435038900617993914984458572935277250756145570382870464986838632997524909520013427027505084874949998881230258613805361641783893/28408295290616745770738678696875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.05781086298556395,1,1641366570656179174613785051262016954682766354178045043758617157029530270298523236313806749509407050042730571546808460208988783566110382142799919093077441158876873730348476509657802553905084874949998881230258613805361641783893/28408295290616745770738678696875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.05777772139669085,0.9994267238515127
38,9,1,1674317386598655474116567698618378104944868443861254548300736343246783940067833914848650591905899332735290940868788071903686434741089468282214883252746536447897056225989459433888229580609520986833051096679841113805361641783893/28408295290616745770738678696875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.05893762260179273,1,1672841622712532414368348015431503239899728491119861290515525742066827753609051085974415133636624047189170916304399955352840034660624580647077715724862988070109302673268615444400130905978270986833051096679841113805361641783893/28408295290616745770738678696875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.05888567425814782,0.9991185877313733
